                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4961,                 5.4751,                 2.3484,                0.94148,                    0.6,                0.61493,                0.38081,                 1.3519,                 4.8423,                 1.4038,                  6e-05,                  6e-05,                  6e-05
                      2,                 2.1407,                 3.5624,                 2.0012,                0.96472,                    0.6,                0.64566,                0.34383,                 1.4794,                 5.8026,                 1.5733,             0.00013538,             0.00013538,             0.00013538
                      3,                 1.6458,                 2.5011,                 1.5963,                0.96476,                    0.6,                0.65249,                0.32547,                 1.7329,                  5.022,                 1.6107,             0.00020548,             0.00020548,             0.00020548
                      4,                 1.7346,                  2.256,                 1.5941,                0.89789,                    0.6,                0.78389,                0.36546,                 1.7731,                 4.2986,                 1.5556,              0.0002703,              0.0002703,              0.0002703
                      5,                 1.6188,                  2.234,                 1.5923,                0.74972,                    0.8,                  0.676,                0.28111,                 1.9243,                 4.7635,                 1.5281,             0.00032984,             0.00032984,             0.00032984
                      6,                  1.507,                 1.7493,                 1.4716,                0.55122,                    0.6,                0.50202,                0.23484,                 2.0849,                 2.6237,                 1.7995,              0.0003841,              0.0003841,              0.0003841
                      7,                 1.5365,                  1.757,                 1.5442,                0.98214,                    0.8,                0.79535,                0.34834,                 2.1805,                 4.3854,                 1.9206,             0.00043308,             0.00043308,             0.00043308
                      8,                 1.4692,                 1.7374,                 1.4404,                0.73484,                    0.8,                0.75535,                0.34392,                 1.7358,                 2.1605,                 1.5225,             0.00047678,             0.00047678,             0.00047678
                      9,                 1.4146,                  1.538,                 1.4167,                0.65501,                    0.8,                0.67943,                0.41984,                 1.6175,                 2.3385,                 1.4555,              0.0005152,              0.0005152,              0.0005152
                     10,                 1.3719,                  1.367,                 1.2968,                0.92869,                    0.6,                0.71038,                0.45838,                 1.6827,                  2.744,                 1.4771,             0.00054834,             0.00054834,             0.00054834
                     11,                 1.3274,                 1.3642,                 1.3835,                0.45762,                    0.2,                0.24921,                0.18176,                 2.1035,                 7.7844,                 1.8567,              0.0005762,              0.0005762,              0.0005762
                     12,                 1.4175,                 1.2729,                 1.4388,                0.37495,                    0.6,                 0.4818,                0.22409,                  2.408,                 9.1614,                 2.0089,             0.00059878,             0.00059878,             0.00059878
                     13,                 1.4647,                 1.3405,                 1.5172,                 0.3914,                    0.6,                0.43013,                0.23112,                 2.7395,                 5.6105,                 2.3192,             0.00061608,             0.00061608,             0.00061608
                     14,                 1.2068,                 1.0729,                 1.3369,                0.36637,                    0.6,                0.47868,                0.29296,                 2.4029,                 5.9269,                 1.9754,              0.0006281,              0.0006281,              0.0006281
                     15,                 1.2809,                 1.1268,                 1.3493,                0.18267,                    0.6,                0.14996,                0.05776,                 2.5211,                 4.4963,                 2.2426,             0.00063484,             0.00063484,             0.00063484
                     16,                 1.2649,                 1.1665,                 1.3652,                0.42043,                    0.2,                  0.121,                0.04698,                 2.7232,                 4.2347,                 2.5212,              0.0006363,              0.0006363,              0.0006363
                     17,                 1.3279,                 1.1115,                 1.3728,                0.00226,                    0.4,                0.03709,                0.00766,                 2.9848,                 3.9989,                 2.6229,             0.00063248,             0.00063248,             0.00063248
                     18,                 1.2742,                  1.163,                  1.389,                0.48243,                    0.6,                0.49087,                0.20236,                 1.8539,                 2.6312,                 1.5404,             0.00062338,             0.00062338,             0.00062338
                     19,                 1.2413,                 1.1103,                 1.3205,                0.38416,                    0.8,                0.53465,                0.14175,                 2.1083,                 3.4334,                 1.6295,               0.000609,               0.000609,               0.000609
                     20,                 1.2327,                 1.0942,                  1.343,                0.47465,                    0.8,                0.67357,                0.14122,                 2.3836,                 2.7945,                 1.7853,             0.00058934,             0.00058934,             0.00058934
                     21,                 1.1731,                0.99306,                 1.3397,                0.89951,                    0.8,                0.90611,                0.41688,                 1.6871,                 1.6421,                 1.2458,              0.0005644,              0.0005644,              0.0005644
                     22,                 1.0226,                0.89289,                 1.1904,                      1,                0.93077,                  0.995,                0.48371,                 1.6717,                 1.7028,                 1.3795,             0.00053418,             0.00053418,             0.00053418
                     23,                 1.0693,                0.82913,                 1.2312,                0.98954,                      1,                  0.995,                0.45101,                 1.7532,                 1.8659,                 1.4203,             0.00049868,             0.00049868,             0.00049868
                     24,                 1.0132,                0.75819,                 1.1494,                0.94113,                      1,                  0.995,                0.38138,                 1.9863,                 1.6152,                 1.5749,              0.0004579,              0.0004579,              0.0004579
                     25,                0.99615,                0.71702,                 1.1822,                0.83216,                      1,                0.96167,                0.32334,                 2.0683,                  1.426,                 1.7224,             0.00041184,             0.00041184,             0.00041184
                     26,                0.92479,                0.69365,                 1.1158,                0.69657,                      1,                0.85786,                0.35324,                 1.9597,                 1.4076,                 1.7333,                0.00035,                0.00035,                0.00035
                     27,                0.93235,                0.72049,                 1.1609,                0.75683,                    0.8,                0.71543,                0.33892,                 1.8359,                 1.4129,                 1.7563,               0.000284,               0.000284,               0.000284
                     28,                0.90234,                0.68339,                 1.0741,                0.66407,                    0.8,                0.72102,                0.30311,                 1.7961,                  1.535,                 1.8114,               0.000218,               0.000218,               0.000218
                     29,                 0.8833,                0.64057,                 1.1037,                0.63937,                    0.8,                0.76405,                 0.2917,                  1.795,                 1.6337,                 1.7706,               0.000152,               0.000152,               0.000152
                     30,                0.83255,                0.61075,                  1.068,                0.75085,                    0.8,                0.79346,                0.32233,                 1.8264,                 1.5349,                 1.8366,                8.6e-05,                8.6e-05,                8.6e-05
